UserId,Gender,Age,AnnualSalary,Purchased
385,0,35,20000,0
681,0,40,43500,0
353,0,49,74000,0
895,0,40,107500,1
661,0,25,79000,0
846,1,47,33500,1
219,1,46,132500,1
588,0,42,64000,0
85,1,30,84500,0
465,0,41,52000,0
686,0,42,80000,0
408,0,47,23000,1
790,1,32,72500,0
116,1,27,57000,0
118,1,42,108000,1
54,1,33,149000,1
90,0,35,75000,0
372,0,35,53000,0
926,0,46,79000,1
94,1,39,134000,1
338,1,39,51500,0
134,1,49,39000,1
821,0,54,25500,1
294,1,41,61500,0
597,1,31,117500,0
567,0,24,58000,0
20,0,40,107000,1
108,0,40,97500,1
105,1,48,29000,1
994,1,38,147500,1
273,0,45,26000,1
263,0,32,67500,0
423,1,37,62000,0
88,0,41,79500,0
81,1,44,113500,1
257,1,47,41500,0
755,1,38,55000,0
249,1,39,114500,1
121,0,42,73000,1
489,0,26,15000,0
555,1,21,37500,0
222,1,59,39500,1
590,1,39,66500,0
645,1,43,80500,0
689,0,49,86000,1
646,0,37,75000,0
964,1,49,76500,0
384,0,28,123000,1
826,1,59,48500,1
27,1,40,60500,0
268,1,38,99500,1
466,0,51,35500,1
411,1,55,130000,1
445,1,23,56500,0
428,1,49,43500,1
974,1,49,36000,1
828,0,48,21500,1
348,1,49,98500,0
730,0,43,59500,0
820,1,35,147000,1
917,1,50,109500,1
15,0,48,26500,1
365,0,49,88000,1
674,1,38,72500,0
30,0,27,58000,0
531,0,35,22000,0
190,1,35,71000,0
160,0,43,129000,1
371,0,41,45000,0
321,0,39,42000,0
230,1,45,40500,0
819,1,51,37500,1
965,0,20,86500,0
351,1,41,63000,0
266,0,58,41500,1
629,1,50,115500,1
891,1,28,55500,0
311,0,34,32500,0
439,1,57,106500,1
861,1,50,53500,1
510,0,49,28000,1
277,0,53,151500,1
417,0,42,88500,1
123,1,27,17000,0
912,1,59,76000,1
667,1,51,136500,1
435,1,49,120500,1
722,1,32,35500,0
892,0,30,44500,0
279,1,27,18500,0
500,1,36,50000,0
684,0,60,144500,1
414,0,38,51000,0
349,1,29,38500,0
456,1,61,103500,1
485,1,33,151500,1
960,0,45,75500,1
233,1,26,17000,0
191,0,30,87000,0
471,0,38,60500,0
977,1,28,84000,0
120,1,50,88000,1
126,0,26,80000,0
23,0,39,42000,0
225,0,26,16000,0
772,1,51,21500,1
398,0,36,56500,0
367,0,47,29500,1
511,1,18,44000,0
775,0,43,109500,1
324,0,61,43500,1
829,1,41,30000,0
478,0,31,58000,0
546,1,29,83000,0
942,1,48,108500,1
571,1,38,112000,0
375,0,59,143000,1
905,1,33,136500,1
132,0,35,61000,0
438,0,28,59000,0
972,0,30,107000,1
596,0,36,99000,1
395,0,40,72500,0
663,1,33,41000,0
903,0,36,23500,0
25,0,49,34500,1
599,1,40,72000,0
563,1,20,23000,0
607,1,37,137000,1
928,1,47,144000,1
453,1,36,24500,0
509,0,40,76500,0
203,1,59,88000,1
450,1,36,75000,0
573,0,42,44500,0
